time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2023-05-11,21.5,9.7,0.0,2023-05-11,2023,5
2023-05-12,21.6,12.1,0.0,2023-05-12,2023,5
2023-05-13,22.0,11.6,0.0,2023-05-13,2023,5
2023-05-14,21.0,8.4,0.0,2023-05-14,2023,5
2023-05-15,20.0,8.2,0.0,2023-05-15,2023,5
2023-05-16,16.0,8.4,0.0,2023-05-16,2023,5
2023-05-17,15.0,6.2,0.1,2023-05-17,2023,5
2023-05-18,15.2,4.4,0.0,2023-05-18,2023,5
2023-05-19,18.1,6.8,0.0,2023-05-19,2023,5
2023-05-20,19.6,8.8,0.0,2023-05-20,2023,5
2023-05-21,26.2,13.7,0.1,2023-05-21,2023,5
2023-05-22,25.2,15.4,0.0,2023-05-22,2023,5
2023-05-23,22.4,12.4,2.6,2023-05-23,2023,5
2023-05-24,15.4,9.6,0.7,2023-05-24,2023,5
2023-05-25,18.7,8.3,0.0,2023-05-25,2023,5
2023-05-26,18.7,6.9,0.0,2023-05-26,2023,5
2023-05-27,19.8,6.2,0.0,2023-05-27,2023,5
2023-05-28,22.6,7.5,0.0,2023-05-28,2023,5
2023-05-29,21.0,10.6,0.0,2023-05-29,2023,5
2023-05-30,21.5,7.2,0.0,2023-05-30,2023,5
2023-05-31,24.0,8.7,0.0,2023-05-31,2023,5
2023-06-01,21.6,11.4,0.0,2023-06-01,2023,6
2023-06-02,19.6,9.5,0.3,2023-06-02,2023,6
2023-06-03,19.5,7.1,0.0,2023-06-03,2023,6
2023-06-04,22.6,6.9,0.0,2023-06-04,2023,6
2023-06-05,25.2,10.1,0.0,2023-06-05,2023,6
2023-06-06,25.4,14.8,0.4,2023-06-06,2023,6
2023-06-07,28.3,15.8,0.0,2023-06-07,2023,6
2023-06-08,28.2,16.1,0.0,2023-06-08,2023,6
2023-06-09,28.5,16.1,0.0,2023-06-09,2023,6
2023-06-10,28.9,15.3,0.1,2023-06-10,2023,6
2023-06-11,26.3,14.2,0.0,2023-06-11,2023,6
2023-06-12,25.4,14.4,0.0,2023-06-12,2023,6
2023-06-13,23.6,12.3,0.0,2023-06-13,2023,6
2023-06-14,23.6,11.3,0.0,2023-06-14,2023,6
2023-06-15,22.8,14.4,0.2,2023-06-15,2023,6
2023-06-16,19.9,12.7,28.9,2023-06-16,2023,6
2023-06-17,20.8,11.8,1.6,2023-06-17,2023,6
2023-06-18,24.6,11.7,0.1,2023-06-18,2023,6
2023-06-19,27.0,14.8,0.6,2023-06-19,2023,6
2023-06-20,25.4,16.1,1.7,2023-06-20,2023,6
2023-06-21,27.8,18.7,3.3,2023-06-21,2023,6
2023-06-22,27.2,17.6,2.3,2023-06-22,2023,6
2023-06-23,20.2,16.6,27.9,2023-06-23,2023,6
2023-06-24,24.5,14.8,0.0,2023-06-24,2023,6
2023-06-25,26.3,14.9,0.5,2023-06-25,2023,6
2023-06-26,29.2,17.9,4.4,2023-06-26,2023,6
2023-06-27,20.5,14.4,1.0,2023-06-27,2023,6
2023-06-28,22.0,12.9,0.0,2023-06-28,2023,6
2023-06-29,24.8,11.9,0.0,2023-06-29,2023,6
2023-06-30,21.5,16.7,8.2,2023-06-30,2023,6
2023-07-01,23.8,15.1,2.3,2023-07-01,2023,7
2023-07-02,21.7,15.9,1.7,2023-07-02,2023,7
2023-07-03,21.4,14.4,0.0,2023-07-03,2023,7
2023-07-04,22.2,13.8,0.4,2023-07-04,2023,7
2023-07-05,24.7,12.9,3.7,2023-07-05,2023,7
2023-07-06,22.2,13.6,0.4,2023-07-06,2023,7
2023-07-07,27.4,11.0,0.0,2023-07-07,2023,7
2023-07-08,30.0,14.8,0.0,2023-07-08,2023,7
2023-07-09,31.5,16.5,0.0,2023-07-09,2023,7
2023-07-10,30.9,18.5,1.4,2023-07-10,2023,7
2023-07-11,29.6,16.2,0.0,2023-07-11,2023,7
2023-07-12,27.6,19.2,0.1,2023-07-12,2023,7
2023-07-13,25.5,15.6,0.1,2023-07-13,2023,7
2023-07-14,25.9,13.8,0.0,2023-07-14,2023,7
