date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2024-05-25,20.0,14.0,17.0,5.0,25.0,75.0,,,0.3,
2024-05-26,17.0,11.0,17.0,4.0,23.0,75.0,,,0.3,
2024-05-27,19.0,11.0,27.0,9.0,41.0,73.0,,,0.3,
2024-05-28,17.0,12.0,29.0,13.0,49.0,53.0,,,0.3,
2024-05-29,19.0,10.0,23.0,10.0,39.0,54.0,,,0.3,
2024-05-30,18.0,12.0,24.0,8.0,37.0,46.0,,,0.3,
2024-05-31,15.0,10.0,20.0,11.0,36.0,56.0,,,0.3,
2024-06-01,25.0,16.0,7.0,1.0,8.0,82.0,,,0.2,
2024-06-02,26.0,18.0,9.0,2.0,12.0,79.0,,,0.2,
2024-06-03,23.0,14.0,29.0,13.0,49.0,65.0,,,0.3,
2024-06-04,18.0,11.0,26.0,11.0,43.0,52.0,,,0.3,
2024-06-05,21.0,13.0,29.0,13.0,48.0,44.0,,,0.3,
2024-06-06,22.0,14.0,19.0,8.0,30.0,66.0,,,0.2,
2024-06-07,24.0,16.0,27.0,8.0,38.0,61.0,,,0.3,
2024-06-08,27.0,17.0,24.0,6.0,33.0,71.0,,,0.3,
2024-06-09,12.0,7.0,13.0,5.0,20.0,67.0,,,0.2,
2024-06-10,17.0,9.0,19.0,9.0,33.0,60.0,,,0.2,
2024-06-11,13.0,7.0,19.0,13.0,39.0,53.0,,,0.2,
2024-06-12,11.0,6.0,23.0,13.0,43.0,57.0,,,0.3,
2024-06-13,13.0,6.0,24.0,11.0,41.0,58.0,,,0.2,
2024-06-14,22.0,12.0,33.0,15.0,56.0,44.0,,,0.3,
2024-06-15,16.0,10.0,22.0,6.0,31.0,51.0,,,0.3,
2024-06-16,15.0,9.0,22.0,5.0,31.0,48.0,,,0.3,
2024-06-17,14.0,7.0,23.0,9.0,36.0,46.0,,,0.2,
2024-06-18,16.0,8.0,27.0,11.0,43.0,45.0,,,0.2,
2024-06-19,15.0,10.0,17.0,6.0,26.0,53.0,,,0.2,
2024-06-20,17.0,9.0,23.0,10.0,38.0,57.0,,,0.2,
2024-06-21,29.0,17.0,27.0,10.0,43.0,52.0,,,0.3,
2024-06-22,21.0,12.0,20.0,7.0,31.0,62.0,,,0.2,
2024-06-23,17.0,11.0,11.0,3.0,15.0,74.0,,,0.2,
2024-06-24,16.0,9.0,15.0,4.0,21.0,65.0,,,0.2,
2024-06-25,19.0,9.0,20.0,8.0,32.0,66.0,,,0.2,
2024-06-26,23.0,11.0,19.0,7.0,29.0,83.0,,,0.2,
2024-06-27,30.0,16.0,28.0,8.0,41.0,70.0,,,0.3,
2024-06-28,26.0,14.0,26.0,7.0,37.0,70.0,,,0.3,
2024-06-29,23.0,12.0,16.0,4.0,23.0,84.0,,,0.2,
2024-06-30,21.0,13.0,12.0,4.0,18.0,69.0,,,0.2,
2024-07-01,17.0,11.0,22.0,11.0,39.0,51.0,,,0.2,
2024-07-02,12.0,8.0,22.0,17.0,47.0,38.0,,,0.3,
2024-07-03,14.0,8.0,21.0,13.0,41.0,41.0,,,0.2,
2024-07-04,14.0,8.0,22.0,11.0,39.0,41.0,,,0.2,
2024-07-05,18.0,9.0,22.0,9.0,37.0,46.0,,,0.2,
2024-07-06,16.0,8.0,15.0,6.0,24.0,53.0,,,0.2,
2024-07-07,14.0,6.0,13.0,3.0,18.0,65.0,,,0.2,
2024-07-08,16.0,6.0,23.0,8.0,35.0,62.0,,,0.2,
2024-07-09,21.0,8.0,29.0,9.0,43.0,74.0,,,0.3,
2024-07-10,27.0,15.0,24.0,6.0,34.0,68.0,,,0.3,
